onset	duration	trial_type	condition	response_accuracy	response_time
241.4969528169604	2.5	B	violation	1	1.5515702059492469
244.49691224994604	2.5	B	violation	1	1.3656092759920284
247.49687224789525	2.5	B	violation	1	1.2636656330432745
250.49683006689884	2.5	B	violation	1	1.2026991640450433
253.49679164995902	2.5	A	violation	1	1.0116579140303656
256.4967508899281	2.5	A	violation	1	1.4577714260667562
259.49670884490484	2.5	A	violation	1	1.1178237909916788
262.4966701898957	2.5	A	violation	1	1.2468827679986134
265.49663160589995	2.5	B	violation	1	1.2348986620781943
268.4965885649435	2.5	A	nonviolation	1	0.921876388019882
271.49655328888906	2.5	A	nonviolation	1	0.8460550410673022
274.4965088379104	2.5	B	violation	1	0.9430253900354728
277.4964658219833	2.5	A	violation	1	0.8720785059267655
280.4964360469021	2.5	B	nonviolation	1	0.7680929200723767
283.49638771591714	2.5	A	violation	1	0.7331417810637504
286.4963511369424	2.5	B	violation	1	1.2171300599584356
289.4963066469645	2.5	A	violation	1	0.7400807240046561
292.4962655470008	2.5	B	nonviolation	0	1.113262983970344
295.4962256489089	2.5	A	nonviolation	1	0.8973015589872375
298.4961832748959	2.5	B	nonviolation	0	1.2013478510780258
301.496142773889	2.5	A	violation	1	0.9143881420604884
304.4961022589123	2.5	A	nonviolation	1	0.9394270590273665
307.49606372800184	2.5	B	nonviolation	1	0.9503538470016792
310.4960258268984	2.5	B	violation	1	1.3015022000763563
313.49598337092897	2.5	B	nonviolation	0	1.0955439200624824
316.4959431369789	2.5	B	nonviolation	1	1.2145425960188732
319.49590219394304	2.5	B	violation	1	1.229635730967857
322.4958609628957	2.5	A	nonviolation	1	0.753671977086924
325.4958218249958	2.5	B	nonviolation	1	1.648727545980364
328.4957807349274	2.5	A	violation	1	0.8677636269712821
331.49574093997944	2.5	A	violation	1	1.2547945639817044
334.4956985159078	2.5	B	nonviolation	1	1.2548359810607508
337.49566503893584	2.5	B	violation	1	1.2808456619968638
340.4956193519756	2.5	A	nonviolation	1	1.0777994939126074
343.49557796493167	2.5	A	violation	1	0.7639379519969225
346.4955438699108	2.5	B	nonviolation	0	1.3699945480329916
